,bike_name,price,city,kms_driven,owner,age,power,brand
0,401,35000.0,6,17654.0,0,2,2,19
1,295,119900.0,118,11000.0,0,3,19,17
2,411,600000.0,118,110.0,0,7,28,20
3,375,65000.0,44,16329.0,0,3,9,19
4,426,80000.0,44,10000.0,0,2,6,21
5,437,53499.0,118,25000.0,0,5,6,21
6,189,85000.0,118,8200.0,0,2,7,6
7,168,45000.0,118,12645.0,0,2,0,5
8,326,145000.0,44,9190.0,0,2,19,17
9,304,88000.0,118,19000.0,1,6,23,17
10,464,72000.0,44,20000.0,0,6,6,21
11,432,95000.0,44,9665.0,0,3,13,21
12,72,78000.0,44,9900.0,0,3,10,1
13,27,29499.0,118,20000.0,0,7,0,1
14,31,29900.0,118,20000.0,0,6,3,1
15,73,90000.0,44,11574.0,0,2,10,1
16,76,120000.0,44,23000.0,0,2,10,1
17,339,48000.0,282,24725.0,0,4,6,18
18,84,240000.0,282,15025.0,1,2,16,2
22,173,46500.0,118,3500.0,0,1,2,5
23,302,121700.0,218,24520.0,0,4,23,17
24,429,45000.0,118,23000.0,0,5,6,21
26,176,20000.0,6,29305.0,0,15,3,5
27,214,20800.0,140,30500.0,1,6,3,6
28,56,50000.0,44,19000.0,0,7,6,1
29,235,81200.0,273,9100.0,0,1,7,6
30,72,88000.0,185,21914.0,0,2,10,1
31,464,80000.0,217,20000.0,1,3,6,21
32,9,40900.0,167,15000.0,0,5,11,1
33,257,180000.0,330,17700.0,0,3,20,11
34,208,40000.0,308,30000.0,0,7,6,6
35,249,70000.0,300,100000.0,1,7,10,11
36,295,98800.0,240,39000.0,0,4,19,17
37,215,65000.0,14,43000.0,0,5,6,6
38,328,190500.0,359,4550.0,0,1,23,17
39,256,179000.0,44,3400.0,0,1,10,11
40,323,70000.0,289,45000.0,0,7,19,17
41,9,45000.0,185,36100.0,0,5,11,1
42,288,78000.0,257,8500.0,0,12,19,17
43,16,110000.0,44,2550.0,0,1,11,1
44,295,85000.0,118,18000.0,0,5,19,17
45,72,38000.0,118,35000.0,0,8,10,1
46,323,55346.0,308,38000.0,0,9,19,17
47,277,28000.0,191,45000.0,0,1,2,15
48,140,37000.0,282,10800.0,0,7,6,5
49,348,97000.0,118,4400.0,0,2,6,18
50,422,40000.0,224,357000.0,0,7,6,21
51,329,90000.0,118,15300.0,0,6,19,17
52,370,60000.0,282,30000.0,0,4,7,19
53,197,21900.0,163,30000.0,1,6,3,6
54,9,40000.0,6,64000.0,0,6,11,1
55,89,475000.0,282,11500.0,1,2,26,2
56,229,34500.0,6,17056.0,0,4,2,6
57,449,25000.0,431,172082.0,0,8,6,21
58,333,30200.0,44,45000.0,0,6,6,18
59,10,65000.0,182,35000.0,0,4,11,1
60,56,25000.0,282,38000.0,0,8,6,1
61,272,935000.0,36,2500.0,0,1,39,12
62,288,107100.0,118,15438.0,1,2,19,17
63,65,80000.0,118,6000.0,0,2,11,1
64,323,88000.0,118,19000.0,0,4,19,17
65,249,94700.0,54,32700.0,0,3,10,11
66,122,12200.0,5,46643.0,0,13,0,5
67,295,106000.0,118,19000.0,0,5,19,17
68,65,29500.0,185,40700.0,0,11,11,1
69,264,290000.0,128,11350.0,0,6,27,12
70,323,110000.0,118,1600.0,0,5,19,17
71,50,27000.0,423,44410.0,0,9,3,1
72,323,65000.0,194,9800.0,0,10,19,17
73,326,150000.0,44,15000.0,0,2,19,17
74,147,55786.0,395,68000.0,1,6,12,5
75,61,45000.0,44,17757.0,0,7,9,1
76,433,146000.0,100,3900.0,0,1,13,21
77,323,115000.0,44,23700.0,0,3,19,17
78,20,30000.0,308,8250.0,0,2,0,1
79,76,93100.0,282,10000.0,0,4,10,1
80,464,82000.0,282,4300.0,1,2,6,21
81,318,260000.0,301,3800.0,0,1,27,17
82,197,38000.0,44,33000.0,0,6,3,6
83,251,130000.0,149,17500.0,1,3,13,11
84,313,118000.0,167,19000.0,0,3,22,17
85,54,14700.0,118,10000.0,0,10,4,1
86,323,85000.0,100,54000.0,0,5,19,17
87,64,40000.0,282,27000.0,0,6,11,1
88,431,50000.0,44,19000.0,0,5,6,21
89,323,71800.0,282,43500.0,0,6,19,17
91,72,75000.0,44,11575.0,0,3,10,1
92,102,1350000.0,282,190.0,0,0,44,3
93,413,790000.0,282,19000.0,0,2,30,20
94,79,47000.0,44,8600.0,0,3,6,1
95,56,60000.0,330,2000.0,0,1,6,1
96,338,96700.0,423,5100.0,0,0,6,18
97,174,31900.0,118,9000.0,0,4,0,5
98,56,35000.0,436,44480.0,0,12,6,1
99,253,240000.0,44,11000.0,0,2,20,11
100,217,68000.0,118,16000.0,0,6,13,6
101,74,80000.0,44,26691.0,0,4,10,1
102,295,135000.0,44,45000.0,0,4,19,17
103,56,11100.0,330,12000.0,2,11,6,1
104,88,480000.0,282,14200.0,0,3,26,2
105,337,65000.0,404,41000.0,0,2,6,18
106,424,60000.0,44,15000.0,0,4,6,21
107,215,80000.0,44,12314.0,0,3,6,6
108,168,46000.0,118,11760.0,0,2,0,5
109,300,95000.0,44,22000.0,0,10,23,17
110,242,400000.0,118,1800.0,0,3,27,7
111,79,55000.0,44,4400.0,0,3,6,1
112,465,63000.0,118,16000.0,0,4,6,21
113,79,51000.0,140,9000.0,0,3,6,1
114,367,69900.0,118,8700.0,0,2,7,19
115,76,125000.0,163,1342.0,0,3,10,1
116,86,210000.0,243,21000.0,0,5,15,2
117,201,35900.0,118,19000.0,0,4,3,6
118,217,67000.0,118,13000.0,0,8,13,6
119,151,29339.0,137,12771.0,0,3,0,5
120,165,19695.0,137,51576.0,0,5,0,5
121,173,48672.0,137,608.0,0,1,2,5
122,215,40000.0,282,13680.0,0,8,6,6
123,461,500000.0,44,285.0,0,4,26,21
124,94,800000.0,282,3.0,0,2,49,3
125,313,110000.0,44,24676.0,0,4,22,17
126,295,92500.0,118,11000.0,0,5,19,17
127,72,57000.0,44,28948.0,0,4,10,1
128,312,72500.0,118,10000.0,0,9,19,17
129,249,68000.0,118,16000.0,0,8,10,11
130,394,21500.0,50,10500.0,0,4,3,19
131,370,40000.0,118,20000.0,0,5,7,19
132,295,91000.0,118,18000.0,0,4,19,17
133,109,300000.0,156,3500.0,0,5,29,4
134,339,47000.0,191,70000.0,0,5,6,18
135,333,53000.0,44,18158.0,0,5,6,18
136,333,51000.0,44,39140.0,0,4,6,18
137,64,48000.0,44,27776.0,0,7,11,1
138,65,55000.0,44,32734.0,0,5,11,1
139,315,173300.0,423,14000.0,0,1,22,17
140,288,77000.0,118,13000.0,0,7,19,17
141,72,115000.0,44,5000.0,0,1,10,1
142,40,36000.0,185,39500.0,0,6,6,1
143,15,72000.0,185,29500.0,0,3,11,1
144,321,115000.0,185,14900.0,0,2,19,17
145,199,65000.0,282,2000.0,0,2,3,6
146,212,99000.0,282,4000.0,0,1,6,6
147,464,68500.0,118,68500.0,1,6,6,21
148,466,140000.0,118,2473.0,0,1,6,21
149,249,130000.0,118,9221.0,0,2,10,11
150,68,46000.0,118,37128.0,0,6,10,1
151,176,30000.0,118,16166.0,0,5,3,5
152,43,116000.0,118,11716.0,0,2,21,1
153,295,130000.0,118,8419.0,0,2,19,17
154,295,98000.0,118,13459.0,0,4,19,17
155,295,85000.0,118,14704.0,0,5,19,17
158,79,50000.0,118,9200.0,0,3,6,1
159,323,100000.0,44,30294.0,0,4,19,17
160,323,66000.0,118,19756.0,0,7,19,17
165,236,80000.0,243,12000.0,0,1,7,6
166,295,123600.0,191,7702.0,0,2,19,17
167,349,950000.0,100,312.0,0,2,50,18
168,295,107000.0,6,17000.0,0,3,19,17
169,99,600000.0,44,16000.0,0,4,34,3
170,425,80000.0,118,3500.0,0,2,6,21
171,344,75000.0,74,11050.0,0,3,6,18
172,176,43778.0,137,948.0,0,1,3,5
173,255,118000.0,118,11200.0,1,4,10,11
174,429,68000.0,44,10407.0,0,4,6,21
175,32,27000.0,44,23000.0,0,7,3,1
176,167,48500.0,118,5500.0,0,1,0,5
177,145,15000.0,118,38000.0,0,14,12,5
178,249,95000.0,301,23000.0,0,4,10,11
179,249,145000.0,21,4500.0,0,3,10,11
180,437,62000.0,118,11227.0,0,2,6,21
181,160,25000.0,185,45000.0,0,8,0,5
182,93,700000.0,6,100.0,0,5,46,3
183,287,160000.0,44,3500.0,0,2,23,17
184,15,47500.0,282,30000.0,0,4,11,1
185,438,21000.0,36,38000.0,0,8,6,21
186,443,18000.0,73,22000.0,0,11,3,21
187,146,36000.0,44,54560.0,0,7,12,5
188,422,52000.0,44,33150.0,0,5,6,21
189,106,435000.0,191,5550.0,1,6,37,4
190,387,68000.0,44,12077.0,0,4,10,19
191,65,80000.0,330,5000.0,0,3,11,1
192,304,110800.0,282,13300.0,0,5,23,17
193,365,85000.0,185,16000.0,0,1,7,19
194,312,145000.0,44,4000.0,0,1,19,17
195,44,145000.0,44,3000.0,0,2,21,1
196,306,149000.0,282,7000.0,0,2,19,17
197,135,60000.0,282,4000.0,0,1,0,5
198,295,140000.0,282,11000.0,0,3,19,17
199,249,85000.0,282,15000.0,0,6,10,11
200,65,86000.0,282,15000.0,0,2,11,1
201,288,115000.0,185,15500.0,0,3,19,17
202,347,83000.0,44,500.0,0,2,6,18
207,61,28000.0,44,35251.0,0,11,9,1
208,165,14500.0,118,35000.0,0,13,0,5
209,172,32000.0,118,22000.0,0,4,2,5
210,61,62500.0,118,26000.0,0,4,9,1
211,466,122500.0,118,10000.0,0,2,6,21
212,46,24500.0,118,15000.0,0,5,0,1
213,385,78500.0,118,26000.0,0,3,10,19
214,292,102500.0,118,21000.0,0,3,19,17
215,399,28000.0,44,28428.0,0,8,2,19
216,295,130000.0,118,10149.0,0,2,19,17
217,295,130000.0,118,7036.0,0,2,19,17
218,43,115000.0,118,7593.0,0,3,21,1
219,255,96000.0,118,17000.0,0,5,10,11
