,age,job,marital,education,balance,housing,duration,campaign,approval
0,30.0,10,1,0,1787,0,79.0,1,0
1,33.0,7,1,1,4789,1,220.0,1,0
2,35.0,4,2,2,1350,1,185.0,1,0
3,30.0,4,1,2,1476,1,199.0,4,0
4,59.0,1,1,1,0,1,226.0,1,0
5,35.0,4,2,2,747,0,141.0,2,0
6,36.0,6,1,2,307,1,341.0,1,0
7,39.0,9,1,1,147,1,151.0,2,0
8,41.0,2,1,2,221,1,57.0,2,0
9,43.0,7,1,0,-88,1,313.0,1,0
10,39.0,7,1,1,9374,1,273.0,1,0
11,43.0,0,1,1,264,1,113.0,2,0
12,36.0,9,1,2,1109,0,-328.0,2,0
13,20.0,8,2,1,502,0,261.0,1,1
14,31.0,1,1,1,360,1,89.0,1,0
15,40.0,4,1,2,194,0,189.0,2,0
16,56.0,9,1,1,4073,0,239.0,5,0
17,37.0,0,2,2,2317,1,114.0,1,0
18,25.0,1,2,0,-221,2,250.0,1,0
19,31.0,7,1,1,132,0,148.0,1,0
20,38.0,4,0,3,0,1,-96.0,2,0
21,42.0,4,0,2,16,0,140.0,3,0
22,44.0,7,2,1,106,0,109.0,2,0
23,44.0,2,1,1,93,0,125.0,2,0
24,26.0,3,1,2,543,0,169.0,3,0
25,41.0,4,1,2,5883,0,182.0,2,0
26,55.0,1,1,0,627,1,247.0,1,0
27,67.0,5,1,3,696,0,119.0,1,0
28,56.0,6,1,1,784,0,149.0,2,0
29,53.0,0,1,1,105,0,74.0,2,0
30,68.0,5,0,1,4189,0,897.0,2,1
31,31.0,9,1,1,171,0,81.0,3,0
32,59.0,4,1,1,42,0,40.0,1,0
33,32.0,4,2,2,2536,1,958.0,6,1
34,49.0,9,1,2,1235,0,354.0,3,1
35,42.0,0,0,1,1811,1,150.0,1,0
36,78.0,5,0,0,229,0,97.0,1,1
37,32.0,1,1,1,2089,1,132.0,1,1
38,0.0,4,1,1,3935,1,765.0,1,1
39,23.0,7,2,2,363,1,16.0,18,0
40,38.0,4,2,2,11971,1,609.0,2,0
41,36.0,4,2,2,553,0,106.0,2,0
42,52.0,1,1,1,1117,1,365.0,1,0
43,32.0,9,1,2,396,1,205.0,3,0
44,32.0,9,2,2,2204,1,11.0,4,0
45,34.0,4,2,2,872,1,105.0,2,0
46,55.0,1,1,0,145,0,59.0,3,0
47,26.0,1,1,0,0,1,425.0,1,0
48,32.0,2,2,0,-849,1,204.0,1,0
49,,0,1,3,4629,1,181.0,1,1
50,45.0,1,0,0,844,0,1018.0,3,1
51,37.0,9,2,1,228,1,1740.0,2,0
52,38.0,9,2,1,50,0,98.0,2,0
53,34.0,9,1,2,1539,1,441.0,1,1
54,53.0,1,1,1,2231,1,272.0,3,0
55,48.0,0,1,1,3064,1,159.0,2,0
56,57.0,4,1,1,82,0,140.0,1,0
57,33.0,6,2,2,2155,0,295.0,1,0
58,36.0,5,2,1,101,1,314.0,1,0
59,54.0,9,0,1,784,2,579.0,1,0
60,41.0,1,1,0,-516,0,554.0,3,0
61,63.0,5,1,1,415,1,323.0,1,0
62,48.0,4,1,2,5887,0,227.0,2,0
63,48.0,7,1,1,1355,0,134.0,2,0
64,56.0,0,1,1,16873,0,223.0,1,0
65,51.0,1,0,1,203,1,134.0,1,0
66,31.0,7,1,1,338,1,155.0,1,0
67,29.0,9,1,1,444,1,130.0,4,0
68,41.0,4,1,1,0,0,630.0,3,0
69,32.0,9,2,2,360,0,164.0,2,0
70,37.0,4,1,2,0,0,268.0,2,1
71,42.0,2,0,2,2,1,380.0,1,0
72,31.0,4,2,2,6248,1,154.0,2,0
73,41.0,7,1,2,412,1,154.0,5,0
74,56.0,5,1,1,344,1,221.0,1,0
75,54.0,4,0,2,3222,0,67.0,2,0
76,41.0,1,0,1,174,1,367.0,2,0
77,40.0,9,2,1,591,0,87.0,6,0
78,50.0,1,0,0,388,0,701.0,1,0
79,40.0,10,1,1,219,1,204.0,2,0
80,27.0,0,0,1,451,1,652.0,1,1
81,60.0,5,1,0,5,0,63.0,2,0
82,28.0,0,2,1,177,1,150.0,1,0
83,52.0,7,1,1,657,0,398.0,2,1
84,37.0,4,1,2,1315,0,224.0,1,1
85,51.0,1,1,0,1466,1,406.0,2,0
86,41.0,9,2,1,879,0,60.0,4,0
87,35.0,1,2,0,293,1,521.0,2,0
88,38.0,0,1,1,424,1,279.0,1,0
89,34.0,1,1,1,1831,1,203.0,2,0
90,39.0,1,1,0,111,0,201.0,2,0
91,34.0,1,1,0,455,2,372.0,3,0
92,27.0,7,2,1,-195,1,391.0,1,1
93,32.0,4,2,2,3616,0,165.0,2,0
94,57.0,1,1,1,14093,0,231.0,5,0
95,41.0,11,2,2,1567,0,291.0,2,0
96,41.0,0,1,2,5426,1,149.0,2,0
97,30.0,0,2,2,261,0,233.0,1,0
98,36.0,1,0,1,2843,0,473.0,1,0
99,31.0,10,2,0,406,0,736.0,1,1
100,36.0,1,1,1,0,1,337.0,1,0
101,38.0,4,2,2,493,1,553.0,1,0
102,49.0,9,1,1,5996,0,345.0,2,0
103,57.0,7,2,0,3777,1,65.0,2,0
104,34.0,4,2,1,524,0,9.0,1,0
105,32.0,4,2,2,574,1,259.0,2,0
106,37.0,1,1,1,427,1,371.0,3,0
107,33.0,6,1,2,483,1,280.0,2,0
108,56.0,10,1,0,3391,0,243.0,1,1
109,27.0,3,1,0,0,1,435.0,3,0
110,21.0,8,2,1,2488,0,258.0,6,1
111,58.0,4,1,2,1517,1,7.0,5,0
112,32.0,6,1,1,217,1,317.0,5,0
113,33.0,1,2,1,22,0,76.0,2,0
114,25.0,8,2,1,331,0,170.0,4,1
115,25.0,9,2,1,505,0,386.0,2,1
116,30.0,7,1,1,1808,1,83.0,2,0
117,22.0,0,2,1,4111,0,65.0,1,0
118,39.0,1,1,0,52,0,69.0,1,0
119,46.0,4,0,2,25,0,564.0,2,0
120,31.0,0,0,1,1890,1,588.0,1,0
121,45.0,1,1,0,419,0,113.0,4,0
122,32.0,9,1,1,2693,1,16.0,1,0
123,36.0,1,1,1,-231,0,779.0,2,0
124,51.0,4,2,2,-55,1,281.0,2,0
125,34.0,6,2,2,462,0,1877.0,3,1
126,24.0,10,2,1,119,0,51.0,1,0
127,45.0,9,2,1,586,0,32.0,3,0
128,32.0,1,2,1,228,0,176.0,1,0
129,77.0,5,0,2,4659,0,161.0,1,1
130,41.0,1,1,0,168,1,187.0,3,0
131,37.0,1,1,0,0,1,24.0,1,0
132,43.0,1,1,3,-715,1,67.0,3,0
133,48.0,0,1,3,0,1,85.0,1,0
134,27.0,9,2,1,769,1,317.0,2,0
135,33.0,4,2,2,0,0,-98.0,10,0
136,29.0,0,2,1,428,1,54.0,1,0
137,34.0,4,2,2,0,0,71.0,1,0
138,52.0,4,1,2,-970,1,489.0,1,1
139,60.0,4,1,3,6313,0,39.0,2,0
140,32.0,4,0,2,948,0,204.0,2,0
141,32.0,4,2,2,0,1,455.0,2,0
142,56.0,7,0,3,1877,1,86.0,1,0
143,31.0,4,2,2,874,1,190.0,2,0
144,42.0,0,1,1,323,1,280.0,2,0
145,35.0,4,1,2,106,0,588.0,2,0
146,56.0,5,1,0,1906,0,45.0,9,0
147,48.0,9,1,1,1152,1,168.0,5,0
148,46.0,0,1,1,179,1,194.0,4,0
149,37.0,9,2,3,391,1,103.0,3,0
150,41.0,2,1,3,89,1,333.0,2,0
151,36.0,4,2,2,442,1,102.0,3,0
152,45.0,10,0,0,-249,1,92.0,1,0
153,55.0,2,1,1,8104,0,213.0,2,0
154,39.0,9,1,1,501,0,289.0,1,0
155,35.0,9,0,1,308,0,77.0,2,0
156,55.0,0,1,1,602,0,324.0,3,1
157,55.0,9,1,1,273,1,84.0,3,0
158,27.0,6,2,1,50,0,168.0,1,0
159,34.0,9,1,1,1641,1,380.0,1,0
160,34.0,1,1,2,20,0,10.0,1,0
161,25.0,0,2,1,4590,1,199.0,2,0
162,41.0,0,2,1,-256,0,-35.0,3,0
163,43.0,7,1,1,978,1,82.0,2,0
164,28.0,4,2,2,80,0,676.0,2,1
165,31.0,0,2,1,2104,1,455.0,1,0
166,78.0,3,1,1,499,0,80.0,4,0
167,45.0,1,0,1,1269,1,549.0,2,0
168,48.0,9,1,2,310,0,135.0,1,0
169,32.0,1,2,1,1143,1,412.0,1,0
170,42.0,9,1,1,2980,0,101.0,3,0
171,37.0,4,2,2,37,0,253.0,2,0
172,40.0,0,2,1,462,1,272.0,1,0
173,32.0,0,1,1,1031,1,84.0,1,0
174,42.0,4,1,2,9009,0,135.0,2,0
175,43.0,0,1,1,-465,1,166.0,1,0
176,44.0,0,1,1,5181,1,18.0,7,0
177,37.0,0,1,1,176,1,147.0,2,0
178,37.0,11,1,3,1699,0,63.0,1,0
179,37.0,0,1,2,0,1,65.0,2,0
180,28.0,9,2,2,172,1,194.0,2,0
181,32.0,7,2,1,0,0,333.0,2,0
182,34.0,0,2,1,6979,1,14.0,5,0
183,40.0,0,0,1,6,0,140.0,1,0
184,34.0,7,1,1,-62,1,109.0,3,0
185,34.0,6,1,2,1972,1,61.0,2,0
186,34.0,0,1,2,899,1,377.0,3,0
187,37.0,7,2,1,21,1,96.0,1,0
188,36.0,9,1,1,23,1,152.0,2,0
189,56.0,5,1,1,-1206,1,382.0,2,1
190,49.0,1,1,0,0,1,97.0,6,0
191,33.0,6,1,1,215,1,543.0,12,0
192,30.0,4,2,2,1372,0,240.0,2,0
193,36.0,7,1,1,1981,0,48.0,2,0
194,23.0,8,2,1,9216,0,471.0,2,0
195,57.0,5,0,1,39,1,354.0,3,0
196,27.0,1,2,1,5563,1,435.0,2,0
197,38.0,7,1,1,1,0,152.0,2,0
198,42.0,9,1,2,782,0,285.0,1,0
199,75.0,5,1,1,3771,0,185.0,1,1
200,34.0,9,2,2,992,1,301.0,1,0
201,48.0,9,1,1,1526,0,273.0,2,0
202,35.0,9,2,2,2658,1,768.0,2,1
203,39.0,4,0,2,1315,1,1337.0,4,0
204,29.0,1,2,2,455,0,403.0,1,1
205,45.0,9,2,2,0,1,139.0,2,0
206,42.0,9,1,1,2030,1,196.0,1,0
207,29.0,9,1,1,1599,1,115.0,1,0
208,38.0,7,2,1,-196,1,60.0,1,0
209,56.0,5,1,1,1333,0,17.0,14,0
210,36.0,9,2,1,9149,1,141.0,3,0
211,25.0,1,2,1,-350,1,95.0,3,0
212,38.0,9,1,2,432,1,10.0,2,0
213,57.0,6,1,1,11494,0,198.0,1,0
214,31.0,4,1,2,-253,0,220.0,4,0
215,42.0,4,1,2,372,1,654.0,2,1
216,45.0,9,1,1,1410,0,71.0,2,0
217,30.0,1,1,1,975,1,256.0,2,0
218,49.0,1,1,0,305,1,834.0,10,0
219,49.0,7,1,1,400,0,151.0,3,0
220,53.0,5,1,2,-22,1,20.0,3,0
221,37.0,9,1,1,4030,1,178.0,5,0
222,49.0,1,1,0,365,0,59.0,2,0
223,41.0,6,1,0,204,0,111.0,7,0
224,54.0,4,1,0,1691,1,186.0,1,0
225,32.0,7,2,1,406,1,227.0,1,0
226,33.0,9,1,1,-204,0,297.0,3,0
227,33.0,9,1,1,359,1,210.0,1,0
228,36.0,1,1,0,123,1,9.0,1,0
229,35.0,9,1,2,0,1,112.0,1,0
230,52.0,11,1,1,142,0,112.0,6,0
231,40.0,2,1,2,3571,0,222.0,3,0
232,44.0,9,2,1,33,1,195.0,3,0
233,45.0,1,2,1,0,1,768.0,2,0
234,30.0,8,2,1,3096,0,123.0,1,0
235,48.0,9,0,1,20,0,145.0,3,0
236,33.0,1,1,1,3576,1,124.0,1,0
237,57.0,9,1,3,206,1,216.0,3,0
238,57.0,3,1,0,7082,0,69.0,3,0
239,51.0,10,1,2,1634,1,168.0,4,0
240,34.0,0,2,1,1,1,483.0,7,0
241,50.0,6,1,2,4012,0,690.0,3,0
242,44.0,4,1,2,3762,0,125.0,12,0
243,27.0,0,1,1,-247,1,344.0,2,0
244,50.0,1,1,1,606,1,673.0,2,0
245,36.0,4,1,2,0,1,60.0,1,0
246,42.0,4,1,1,-189,1,247.0,2,0
247,32.0,10,2,1,0,0,123.0,2,0
248,42.0,4,1,2,484,1,144.0,2,0
249,43.0,9,1,1,0,0,9.0,2,0
250,31.0,4,1,2,395,1,155.0,3,0
251,32.0,4,1,2,2349,0,134.0,5,0
252,55.0,1,0,0,410,0,221.0,2,0
253,58.0,5,1,0,3401,1,84.0,3,0
254,46.0,1,1,0,222,0,71.0,2,0
255,55.0,1,1,1,989,1,246.0,4,0
256,34.0,4,1,2,415,0,361.0,2,0
257,28.0,10,2,1,16,0,119.0,4,0
258,42.0,9,0,2,7190,1,375.0,2,0
259,29.0,1,2,1,482,0,1097.0,3,1
260,54.0,3,1,1,209,1,97.0,1,0
261,32.0,9,2,1,0,0,181.0,2,0
262,39.0,9,2,2,5803,0,83.0,3,0
263,53.0,2,1,2,624,0,180.0,4,0
264,58.0,9,1,2,883,0,543.0,1,0
