,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
0,0,1,1,0,2,1,0,1,2,1,0 GB,Casual,No warranty,No,No,34649,2 stars,3,0
1,1,1,1,0,2,1,0,1,2,1,0 GB,Casual,No warranty,No,No,38999,3 stars,65,5
2,1,1,1,0,2,1,0,1,2,1,0 GB,Casual,No warranty,No,No,39999,3 stars,8,1
3,0,1,2,0,3,1,6,0,2,0,2 GB,Casual,No warranty,No,No,69990,3 stars,0,0
4,0,1,0,7,2,1,0,3,2,1,0 GB,Casual,No warranty,No,No,26990,3 stars,0,0
5,0,1,0,7,2,1,0,3,2,1,0 GB,Casual,No warranty,No,No,22990,3 stars,0,0
6,0,1,0,7,2,1,0,3,2,0,0 GB,Casual,No warranty,No,No,21990,3 stars,31,3
7,0,1,2,0,3,1,0,1,2,0,2 GB,Casual,No warranty,No,No,58799,3 stars,0,0
8,1,1,2,0,2,1,0,1,2,0,0 GB,Casual,No warranty,No,No,49999,3 stars,0,0
9,2,0,8,0,2,1,0,3,2,0,4 GB,Casual,No warranty,No,No,59990,4 stars,1946,240
10,2,0,8,0,2,1,0,3,2,0,6 GB,Casual,No warranty,No,No,93700,4 stars,259,47
11,2,0,8,0,2,1,0,3,2,0,4 GB,Casual,No warranty,No,No,72990,4 stars,425,67
12,3,1,0,7,2,1,0,3,2,1,0 GB,Casual,No warranty,No,No,17490,3 stars,1120,196
14,0,1,1,1,2,1,4,0,2,1,0 GB,Casual,No warranty,No,No,35990,3 stars,0,0
15,4,1,1,1,3,1,4,0,2,1,0 GB,Casual,1 year,Yes,No,56490,3 stars,0,0
16,4,1,2,1,3,1,4,0,2,1,0 GB,Casual,1 year,No,No,65390,3 stars,0,0
17,1,1,0,7,2,1,4,0,2,1,0 GB,ThinNlight,No warranty,No,No,31999,4 stars,286,19
18,4,1,0,7,3,1,4,0,2,1,0 GB,ThinNlight,No warranty,No,No,32490,4 stars,58,6
19,1,1,0,7,2,1,4,0,2,1,0 GB,ThinNlight,No warranty,No,No,31799,3 stars,0,0
20,0,1,0,7,2,1,4,0,2,1,0 GB,Casual,No warranty,No,No,29890,4 stars,7,0
21,0,1,0,7,2,1,0,1,2,1,0 GB,Casual,1 year,No,No,23990,3 stars,15279,1947
22,4,1,1,4,2,1,0,1,2,1,0 GB,Casual,No warranty,No,No,32955,4 stars,311,27
23,4,1,2,4,2,1,0,1,2,0,2 GB,Casual,No warranty,No,No,46200,4 stars,47,7
24,0,1,1,1,2,1,4,0,2,1,0 GB,ThinNlight,No warranty,No,No,34429,4 stars,37,6
25,1,1,1,0,3,1,4,0,2,0,0 GB,ThinNlight,2 years,No,Yes,37990,4 stars,2080,235
26,0,1,1,1,2,1,4,0,2,0,0 GB,Casual,1 year,No,Yes,35990,4 stars,1479,181
27,0,1,1,0,3,1,4,0,2,1,0 GB,ThinNlight,No warranty,No,No,33980,4 stars,67,3
28,4,1,1,1,3,1,4,0,2,1,0 GB,ThinNlight,1 year,No,Yes,39990,4 stars,273,30
29,5,1,1,0,3,1,4,0,2,1,0 GB,ThinNlight,1 year,No,Yes,39490,4 stars,1267,171
30,4,1,1,1,3,1,4,0,2,1,0 GB,Casual,1 year,Yes,Yes,53990,4 stars,14,0
31,2,1,1,1,3,1,4,0,2,1,0 GB,ThinNlight,1 year,No,No,38990,3 stars,0,0
32,0,1,1,1,3,1,4,0,2,1,0 GB,ThinNlight,1 year,No,No,37990,4 stars,284,39
